Sonda meniń qurayday, solǵanım dep, háwjar.»	sonˈdɑ meˈniŋ qurɑjˈdɑj , solʁɑˈnɯm ˈdep , hæwˈʒɑr .
Shaxnamanıń barlıq ideyası basıp alıwshılıq, qaraqshılıqqa pútkilley qarsı, danıshpanlardıń ólimin óz kózi menen kórgen shayır urısqa nálet aytadı. Ulıwma Ferdawsiydiń dástanı epik traditsiyalar qollanılatuǵın áyyemgi dáwir menen kórkem ádebiyatta realizm hám romantik tendentsiya júzege keltirgen orta ásirdegi dóretpe.	ʃɑχnɑmɑˈnɯŋ bɑrˈlɯq idejɑˈsɯ bɑˈsɯp ɑlɯwʃɯˈlɯq , qɑrɑqʃɯlɯqˈqɑ pytkilˈlej qɑrˈsɯ , dɑnɯʃpɑnlɑrˈdɯŋ øliˈmin ˈøz køˈzi meˈnen kørˈɡen ʃɑˈjɯr urɯsˈqɑ næˈlet ɑjtɑˈdɯ . ulɯwˈmɑ ferdɑwsijˈdiŋ dæstɑˈnɯ eˈpik trɑditsijɑˈlɑr qollɑnɯlɑtuˈʁɯn æjjemˈɡi dæˈwir meˈnen kørˈkem ædebijɑtˈtɑ reɑˈlizm ˈhæm romɑnˈtik tendentsiˈjɑ ʒyzeˈɡe keltirˈɡen orˈtɑ æsirdeˈɡi døretˈpe .
Ádebiyat bir tilge, dáwirge yamasa mádeniyatqa tiyisli jazba shıǵarmalardıń toplamı. Ádebiyat adamlardıń baxalı hám qızıq waqıyaların aytıwda járdem beredi. Kóplegen adamlardıń pikirinshe, ádebiyat basqa mádeniyatlardı uyreniwdiń eń jaqsı jollarınıń biri.	ædebiˈjɑt ˈbir tilˈɡe , dæwirˈɡe jɑmɑˈsɑ mædenijɑtˈqɑ tijisˈli ʒɑzˈbɑ ʃɯʁɑrmɑlɑrˈdɯŋ toplɑˈmɯ . ædebiˈjɑt ɑdɑmlɑrˈdɯŋ bɑχɑˈlɯ ˈhæm qɯˈzɯq wɑqɯjɑlɑˈrɯn ɑjtɯwˈdɑ ʒærˈdem bereˈdi . køpleˈɡen ɑdɑmlɑrˈdɯŋ pikirinˈʃe , ædebiˈjɑt bɑsˈqɑ mædenijɑtlɑrˈdɯ ujreniwˈdiŋ ˈeŋ ʒɑqˈsɯ ʒollɑrɯˈnɯŋ biˈri .
Ádebiyat bir mámleket yamasa mádeniyat jaratqan eń jaqsı jazbalar. Ol sózlerdiń sanaatı esaplanadı.	ædebiˈjɑt ˈbir mæmleˈket jɑmɑˈsɑ mædeniˈjɑt ʒɑrɑtˈqɑn ˈeŋ ʒɑqˈsɯ ʒɑzbɑˈlɑr . ˈol søzlerˈdiŋ sɑnɑɑˈtɯ esɑplɑnɑˈdɯ .
Ádebiyat degende, kórkem áhmiyetliligi ushın qaralatuǵın qıyalıy yamasa dóretiwshilik shıǵarmada názerde tutılıwı múmkin.	ædebiˈjɑt deɡenˈde , kørˈkem æhmijetliliˈɡi uˈʃɯn qɑrɑlɑtuˈʁɯn qɯjɑˈlɯj jɑmɑˈsɑ døretiwʃiˈlik ʃɯʁɑrmɑˈdɑ næzerˈde tutɯlɯˈwɯ mymˈkin .
2023-jıl 1-iyul jaǵdayına bola, Qaraqalpaqstan xalqınıń sanı 1 986 900 adamdı quradı. Bul 2022-jıldıń sáykes dáwirine salıstırǵanda 1,2%ke kóp. Er adamlar sanı (997 800) hayal-qızlar sanınan (989 100) sál kóbirek boldı. Awıllıq jerlerde jasaytuǵınlar sanı (1 015 500) qalalarda jasaytuǵınlarǵa (971 400) qaraǵanda sál kóbirek boldı .	eˈki ˈmɯŋ ʒiɡirˈmɑ ˈyʃ ˈʒɯl ˈbir iˈjul ʒɑʁdɑjɯˈnɑ boˈlɑ , qɑrɑqɑlpɑqsˈtɑn χɑlqɯˈnɯŋ sɑˈnɯ ˈbir milliˈon toˈʁɯz ˈʒyz sekˈsen ɑlˈtɯ ˈmɯŋ toˈʁɯz ˈʒyz ɑdɑmˈdɯ qurɑˈdɯ . ˈbul eˈki ˈmɯŋ ʒiɡirˈmɑ eˈki ʒɯlˈdɯŋ sæjˈkes dæwiriˈne sɑlɯstɯrʁɑnˈdɑ ˈbir eˈki prokentˈke ˈkøp . ˈer ɑdɑmˈlɑr sɑˈnɯ toˈʁɯz ˈʒyz toqˈsɑn ʒeˈti ˈmɯŋ seˈɡiz ˈʒyz hɑˈjɑl qɯzˈlɑr sɑnɯˈnɑn toˈʁɯz ˈʒyz sekˈsen toˈʁɯz ˈmɯŋ ˈʒyz ˈsæl købiˈrek bolˈdɯ . ɑwɯlˈlɯq ʒerlerˈde ʒɑsɑjtuʁɯnˈlɑr sɑˈnɯ ˈbir milliˈon ˈon ˈbes ˈmɯŋ ˈbes ˈʒyz qɑlɑlɑrˈdɑ ʒɑsɑjtuʁɯnlɑrˈʁɑ toˈʁɯz ˈʒyz ʒetˈpis ˈbir ˈmɯŋ ˈtørt ˈʒyz qɑrɑʁɑnˈdɑ ˈsæl købiˈrek bolˈdɯ .
Tuwılıwdıń ulıwma koefficienti 2,2%ti quraydı: 2017-jılı shama menen 39 400 bala tuwılǵan. Sol dáwirde 8 400 ge jaqın adam qaytıs bolǵan. Ólimniń ulıwma koefficienti 0,47%ti quraydı. Tábiyiy ósim 31 000 adamdı yamasa 1,72% ti quradı.	tuwɯlɯwˈdɯŋ ulɯwˈmɑ koeffikienˈti eˈki eˈki prokentˈti qurɑjˈdɯ , eˈki ˈmɯŋ ˈon ʒeˈti ʒɯˈlɯ ʃɑˈmɑ meˈnen oˈtɯz toˈʁɯz ˈmɯŋ ˈtørt ˈʒyz bɑˈlɑ tuwɯlˈʁɑn . ˈsol dæwirˈde seˈɡiz ˈmɯŋ ˈtørt ˈʒyz ˈɡe ʒɑˈqɯn ɑˈdɑm qɑjˈtɯs bolˈʁɑn . ølimˈniŋ ulɯwˈmɑ koeffikienˈti ˈnol ˈqɯrq ʒeˈti prokentˈti qurɑjˈdɯ . tæbiˈjij øˈsim oˈtɯz ˈbir ˈmɯŋ ɑdɑmˈdɯ jɑmɑˈsɑ ˈbir ʒetˈpis eˈki prokentˈti qurɑˈdɯ .
Qazaqstannıń JIÓ 179,332 mlrd. AQSh dolların quraydı hám jıllıq ósiw páti 4,5% ke teń. Qazaqstannıń JIÓ jan basına 9 686 AQSh dolların quraydı.	qɑzɑqstɑnˈnɯŋ ʒɯˈø ˈʒyz ʒetˈpis toˈʁɯz ˈyʃ ˈʒyz oˈtɯz eˈki milliˈɑrd ˈɑqʃ dollɑˈrɯn qurɑjˈdɯ ˈhæm ʒɯlˈlɯq øˈsiw pæˈti ˈtørt ˈbes prokentˈke ˈteŋ . qɑzɑqstɑnˈnɯŋ ʒɯˈø ˈʒɑn bɑsɯˈnɑ toˈʁɯz ˈmɯŋ ɑlˈtɯ ˈʒyz sekˈsen ɑlˈtɯ ˈɑqʃ dollɑˈrɯn qurɑjˈdɯ .
Xalqı 235 000(2024), xalqınıń ortasha tıǵızlıǵi 23,2 adam/1 km kv tuwra keledi. Rayon úlesine Qaraqalpaqstan aymaǵınıń xalıq sanınıń 10,0 % tuwra keledi.	χɑlˈqɯ eˈki ˈʒyz oˈtɯz ˈbes ˈmɯŋ eˈki ˈmɯŋ ʒiɡirˈmɑ ˈtørt , χɑlqɯˈnɯŋ ortɑˈʃɑ tɯʁɯzlɯˈʁi ʒiɡirˈmɑ ˈyʃ eˈki ɑˈdɑm ˈbir kvɑdˈrɑt kiloˈmetr tuwˈrɑ keleˈdi . rɑˈjon ylesiˈne qɑrɑqɑlpɑqsˈtɑn ɑjmɑʁɯˈnɯŋ χɑˈlɯq sɑnɯˈnɯŋ ˈon ˈnol proˈkent tuwˈrɑ keleˈdi .
Neftdiń quramı: uglerod - 80-87%, vodorod - 10-14%, kislorod – 3%, kúkirt – 5%, azot – 2%. Suwmala hám Asfalt ónimleri kóbirek joqarı molekulyar dúzilisge qosılmalar da kerek. Neft sonday júzlershe qosılmalardan turadı. Neft janǵanda 37-49 MDj/g Jıllılıq ayrılıp shıǵadı. Neft quramına kirgen kúkirt hám onıń qosılmaları zıyanlı, olar metallarda korroziya keltirip shıǵaradı.	neftˈdiŋ qurɑˈmɯ , uɡleˈrod miˈnus sekˈsen , sekˈsen ʒeˈti proˈkent , vodoˈrod miˈnus ˈon , ˈon ˈtørt proˈkent , kisloˈrod miˈnus ˈyʃ proˈkent , kyˈkirt miˈnus ˈbes proˈkent , ɑˈzot miˈnus eˈki proˈkent . suwmɑˈlɑ ˈhæm ɑsˈfɑlt ønimleˈri købiˈrek ʒoqɑˈrɯ molekulˈjɑr dyzilisˈɡe qosɯlmɑˈlɑr ˈdɑ keˈrek . ˈneft sonˈdɑj ʒyzlerˈʃe qosɯlmɑlɑrˈdɑn turɑˈdɯ . ˈneft ʒɑnʁɑnˈdɑ oˈtɯz ʒeˈti , ˈqɯrq toˈʁɯz mdʒ ɡ ʒɯllɯˈlɯq ɑjrɯˈlɯp ʃɯʁɑˈdɯ . ˈneft qurɑmɯˈnɑ kirˈɡen kyˈkirt ˈhæm oˈnɯŋ qosɯlmɑlɑˈrɯ zɯjɑnˈlɯ , oˈlɑr metɑllɑrˈdɑ korroziˈjɑ keltiˈrip ʃɯʁɑrɑˈdɯ .
2013-jıl 8-iyulda LvMH Loro Piananing 80 % ni 2 milliard yevroga satıp aldı, qalǵan úles bolsa Loro Piana shańaraǵınıń qolında qaldı . Shańaraqtıń 20 % ​​ulushi qoyıw hám qońıraw qılıw opsionlari 2016 -jılda tawsılǵan.	eˈki ˈmɯŋ ˈon ˈyʃ ˈʒɯl seˈɡiz ijulˈdɑ lvmh loˈro piɑnɑˈninɡ sekˈsen proˈkent ˈni eˈki milliˈɑrd jevroˈɡɑ sɑˈtɯp ɑlˈdɯ , qɑlˈʁɑn yˈles bolˈsɑ loˈro piɑˈnɑ ʃɑŋɑrɑʁɯˈnɯŋ qolɯnˈdɑ qɑlˈdɯ . ʃɑŋɑrɑqˈtɯŋ ʒiɡirˈmɑ proˈkent uluˈʃi qoˈjɯw ˈhæm qoŋɯˈrɑw qɯˈlɯw opsionlɑˈri eˈki ˈmɯŋ ˈon ɑlˈtɯ ʒɯlˈdɑ tɑwsɯlˈʁɑn .
Kriptovalyuta termini 2011-jılda Forbes jurnalında baspadan shıǵarılǵan.Bitcoin sisteması «Kriptovalyuta» haqqındaǵı maqala baspadan shıǵarılǵannan keyin óz ornın iyeledi . Usınıń menen birge,bitkoin jaratıwshısi ​​da, basqa kóplegen avtorlar da “elektron naq pul" () termininen paydalanǵan.	kriptovɑljuˈtɑ termiˈni eˈki ˈmɯŋ ˈon ˈbir ʒɯlˈdɑ forˈbes ʒurnɑlɯnˈdɑ bɑspɑˈdɑn ʃɯʁɑrɯlˈʁɑn . bitkoˈin sistemɑˈsɯ kriptovɑljuˈtɑ hɑqqɯndɑˈʁɯ mɑqɑˈlɑ bɑspɑˈdɑn ʃɯʁɑrɯlʁɑnˈnɑn keˈjin ˈøz orˈnɯn ijeleˈdi . usɯˈnɯŋ meˈnen birˈɡe , bitkoˈin ʒɑrɑtɯwʃɯˈsi ˈdɑ , bɑsˈqɑ køpleˈɡen ɑvtorˈlɑr ˈdɑ elektˈron ˈnɑq ˈpul terminiˈnen pɑjdɑlɑnˈʁɑn .
Kategoriya:XIX ásir qaraqalpaq shayırları	kɑteɡoriˈjɑ , ˈon toˈʁɯz æˈsir qɑrɑqɑlˈpɑq ʃɑjɯrlɑˈrɯ
Filosofiyanıń rawajlanıwınıń eń áhmiyetlisi bolıp jańalıqlardı jasaw kitabı (b.e.sh. XII-VI ásir) bolıp esaplanadı. Bunda dúnya hám adam haqqındaǵı Qıtay filosofiyasında birinshi túsinikler óz kórinisin tabadı. Bul kitaptıń úsh áhmiyetli bóleklerinen birewi İnv hám Yan elementleri haqqındaǵı miflerdi beredi.	filosofijɑˈnɯŋ rɑwɑʒlɑnɯwɯˈnɯŋ ˈeŋ æhmijetliˈsi boˈlɯp ʒɑŋɑlɯqlɑrˈdɯ ʒɑˈsɑw kitɑˈbɯ biˈziŋ erɑmɯzˈʁɑ ʃeˈkem ˈon eˈki ˈvɯ æˈsir boˈlɯp esɑplɑnɑˈdɯ . bunˈdɑ dynˈjɑ ˈhæm ɑˈdɑm hɑqqɯndɑˈʁɯ qɯˈtɑj filosofijɑsɯnˈdɑ birinˈʃi tysinikˈler ˈøz køriniˈsin tɑbɑˈdɯ . ˈbul kitɑpˈtɯŋ ˈyʃ æhmijetˈli bølekleriˈnen bireˈwi ˈinv ˈhæm ˈjɑn elementleˈri hɑqqɯndɑˈʁɯ miflerˈdi bereˈdi .
