ھەركىم ئۆزى يازالايدىغان ئوچۇق ئېنسكلوپېدىيە	hɛrkim ʔøzi jɑzɑlɑjdiʁɑn ʔot͡ʃuq ʔensklopedijɛ
پادىشالىق دۆلەتلەرنىڭ تارىخى ئىنتايىن ئۇزاق بولۇپ، ھازىرغىچە نەچچە مىڭ يىللىق تارىققا ئىگە. دەۋرىمىزنىڭ تەرەقىياتىغا ئەگىشىپ، 18-ئەسىردىكى بۇرژۇئا دېمۇكىراتىك ئىنقىلاۋېغىچە دۇنياغا كەڭ تارقالغان پادىشالىق تۈزۈمدىكى دۈلەتلەردىن ھازىرغىچە نەچچە ئونلا قالدى. بۇنىڭ ئىچىدە :	pɑdiʃɑliq dølɛtlɛrniŋ tɑriχi ʔintɑjin ʔuzɑq bolup , hɑzirʁit͡ʃɛ nɛt͡ʃt͡ʃɛ miŋ jilliq tɑriqqɑ ʔiɡɛ . dɛwrimizniŋ tɛrɛqijɑtiʁɑ ʔɛɡiʃip , ʔon sɛkkizint͡ʃi ʔɛsirdiki burʒuʔɑ demukirɑtik ʔinqilɑweʁit͡ʃɛ dunjɑʁɑ kɛŋ tɑrqɑlʁɑn pɑdiʃɑliq tyzymdiki dylɛtlɛrdin hɑzirʁit͡ʃɛ nɛt͡ʃt͡ʃɛ ʔonlɑ qɑldi . buniŋ ʔit͡ʃidɛ
ئەرمەن تىلى دۆلەت تىلى. ئاھالىلەر ئەرمەن ۋە رۇس تىلىنى قوللىنىدۇ.	ʔɛrmɛn tili dølɛt tili . ʔɑhɑlilɛr ʔɛrmɛn wɛ rus tilini qollinidu .
ئازەربەيجان زىمىنى ئاساسەن ئېقىنى مول، تۈزلەڭلىكتىن شەكىللەنگەن بولۇپ،15% ئورمانلىق.21% تېرىلغۇ يەر. تۇپراق ئۈنۈمدارلىقى بىر قەدەر يۇقىرى، كان بايلىقى مول . ئازەربەيجاندە ئاھالىنىڭ بەشتىن بىرى دېھقانچىلىق بىلەن شۇغۇللىنىدۇ.	ʔɑzɛrbɛjd͡ʒɑn zimini ʔɑsɑsɛn ʔeqini mol , tyzlɛŋliktin ʃɛkillɛnɡɛn bolup , ʔon bɛʃ pirsɛnt ʔormɑnliq . jiɡirmɛ bir pirsɛnt terilʁu jɛr . tuprɑq ʔynymdɑrliqi bir qɛdɛr juqiri , kɑn bɑjliqi mol . ʔɑzɛrbɛjd͡ʒɑndɛ ʔɑhɑliniŋ bɛʃtin biri dehqɑnt͡ʃiliq bilɛn ʃuʁullinidu .
2006-يىلى ئارمېنىيەنىڭ ئىقتىسادىدا يېزا ئىگىلىك كىرىمى 18%،سانائەت42%، مۇلازىمەت 40%نى ئىگەللىگەن بولۇپ -2005يىلى مۇقىم تېلپون ئابونتى 600مىڭ ، يانپون ئابونتى 320مىڭ بولغان، ئىنتېرنېت ئابونتى150مىڭ بولغان.	ʔikki miŋ ʔɑltint͡ʃi jili ʔɑrmenijɛniŋ ʔiqtisɑdidɑ jezɑ ʔiɡilik kirimi ʔon sɛkkiz pirsɛnt , sɑnɑʔɛt qiriq ʔikki pirsɛnt , mulɑzimɛt qiriq pirsɛntni ʔiɡɛlliɡɛn bolup ʔikki miŋ bɛʃ jili muqim telpon ʔɑbonti ʔɑltɛ jyz miŋ , jɑnpon ʔɑbonti ʔyt͡ʃ jyz jiɡirmɛ miŋ bolʁɑn , ʔinternet ʔɑbonti jyz ʔɛllik miŋ bolʁɑn .
ئاھالىسى: بېلگىيەنىڭ 2006-يىللىق نوپۇسى 10مىلىيۇن 379مىڭ بولۇپ، ئاھالىنىڭ 58%نى فلېمىڭ(گوللاند تىلىدا سۆزلىشىدىغان بېلگىيىلىكلەر)، 31%نى ۋاللونلار(فرانسۇز تىلىدا سۆزلىشىدىغان بېلگىيىلىكلەر) ، 2%نى گېرمانلار، 9%نى كۆچمەنلەر ئىگەللەيدۇ.ئۈچ خوشنا دۆلەتنىڭ تىلى- گوللاند، فرانسۇز ۋە گېرمان تىللىرى دۆلەت تىلى.	ʔɑhɑlisi belɡijɛniŋ ʔikki miŋ ʔɑltint͡ʃi jilliq nopusi ʔon milijun ʔyt͡ʃ jyz jɛtmiʃ toqquz miŋ bolup , ʔɑhɑliniŋ ʔɛllik sɛkkiz pirsɛntni plemiŋ ɡollɑnt tilidɑ søzliʃidiʁɑn belɡijiliklɛr , ʔottuz bir pirsɛntni wɑllonlɑr prɑnsuz tilidɑ søzliʃidiʁɑn belɡijiliklɛr , ʔikki pirsɛntni ɡermɑnlɑr , toqquz pirsɛntni køt͡ʃmɛnlɛr ʔiɡɛllɛjdu . ʔyt͡ʃ χoʃnɑ dølɛtniŋ tili ɡollɑnt , prɑnsuz wɛ ɡermɑn tilliri dølɛt tili .
دىنى : ۋاللونلار كاتولىك دىنىغا ئىشىنىدۇ. فلېمىڭلارنىڭ 70% كاتولىك دىنىغا 30% پروتىستانت دىنى مارتىن مەزھىبىگە ئىشىنىدۇ.	dini wɑllonlɑr kɑtolik diniʁɑ ʔiʃinidu . plemiŋlɑrniŋ jɛtmiʃ pirsɛnt kɑtolik diniʁɑ ʔottuz pirsɛnt protistɑnt dini mɑrtin mɛzhibiɡɛ ʔiʃinidu .
ئىقتىسادى: 2006 -يىلى بېلگىيەنىڭ ئۇمۇمى مىللى ئىشلەپچىقىرىش دارامىتى 350مىليارت326مىليۇن دوللار بولۇپ كىشى بېشىغا34081دوللار توغرا كەلگەن. بېلگىيەنىڭ2000-يىلىدىن بۇيانقى يىللىق ئىقتىسادى ئېشىش سۈرئىتى 2%-3% بولۇۋاتىدۇ.	ʔiqtisɑdi ʔikki miŋ ʔɑltint͡ʃi jili belɡijɛniŋ ʔumumi milli ʔiʃlɛpt͡ʃiqiriʃ dɑrɑmiti ʔyt͡ʃ jyz ʔɛllik miljɑrt ʔyt͡ʃ jyz jiɡirmɛ ʔɑltɛ miljun dollɑr bolup kiʃi beʃiʁɑ ʔottuz tøt miŋ sɛksɛn bir dollɑr toʁrɑ kɛlɡɛn . belɡijɛniŋ ʔikki miŋ jilidin bujɑnqi jilliq ʔiqtisɑdi ʔeʃiʃ syrʔiti ʔikki pirsɛnt ʔyt͡ʃ pirsɛnt boluwɑtidu .
ئاھالىسى: ئاۋىستىرىيىنىڭ 2006-يىللىق نوپۇسى 8مىلىيۇن 192مىڭ بولۇپ، ئاھالىنىڭ 90%نى ئاۋىستىرىيىلىكلەر، 4%نى سابىق يۇگۇسلاۋىيىلىكلەر، 2%نى تۈركلەر قالغىنىنى يەنە باشقا ئەللەردىن كەلگەن كۆچمەنلەر ئىگەللەيدۇ. دۆلەت تىلى گېرمان تىلى.	ʔɑhɑlisi ʔɑwistirijiniŋ ʔikki miŋ ʔɑltint͡ʃi jilliq nopusi sɛkkiz milijun jyz toqsɑn ʔikki miŋ bolup , ʔɑhɑliniŋ toqsɑn pirsɛntni ʔɑwistirijiliklɛr , tøt pirsɛntni sɑbiq juɡuslɑwijiliklɛr , ʔikki pirsɛntni tyrklɛr qɑlʁinini jɛnɛ bɑʃqɑ ʔɛllɛrdin kɛlɡɛn køt͡ʃmɛnlɛr ʔiɡɛllɛjdu . dølɛt tili ɡermɑn tili .
2006 -يىلى ئاۋىستىرىيەنىڭ ئۇمۇمى مىللى ئىشلەپچىقىرىش دارامىتى 293مىليارت407مىليۇن دوللار بولۇپ كىشى بېشىغا 35861دوللار توغرا كەلگەن. ئاۋىستىرىيەنىڭ2000-يىلىدىن بۇيانقى يىللىق ئىقتىسادى ئېشىش سۈرئىتى 3%-4% بولۇۋاتىدۇ.	ʔikki miŋ ʔɑltint͡ʃi jili ʔɑwistirijɛniŋ ʔumumi milli ʔiʃlɛpt͡ʃiqiriʃ dɑrɑmiti ʔikki jyz toqsɑn ʔyt͡ʃ miljɑrt tøt jyz jɛttɛ miljun dollɑr bolup kiʃi beʃiʁɑ ʔottuz bɛʃ miŋ sɛkkiz jyz ʔɑtmiʃ bir dollɑr toʁrɑ kɛlɡɛn . ʔɑwistirijɛniŋ ʔikki miŋ jilidin bujɑnqi jilliq ʔiqtisɑdi ʔeʃiʃ syrʔiti ʔyt͡ʃ pirsɛnt tøt pirsɛnt boluwɑtidu .
تىلى: ئاھالىنىڭ 98%نى ئىگەللەيدىغان ئالجىرىيە ئەرەپ تىلى دۆلەت تىلى، فىرانسۇز تىلى ھۆكۈمەت تىلى بولۇپ بۇلاردىن باشقا يەنە 1% بەربەر ۋە 1% فىرانسۇزلار بار.	tili ʔɑhɑliniŋ toqsɑn sɛkkiz pirsɛntni ʔiɡɛllɛjdiʁɑn ʔɑld͡ʒirijɛ ʔɛrɛp tili dølɛt tili , pirɑnsuz tili høkymɛt tili bolup bulɑrdin bɑʃqɑ jɛnɛ bir pirsɛnt bɛrbɛr wɛ bir pirsɛnt pirɑnsuzlɑr bɑr .
دىنى : ئاھالىنىڭ 99% دىن ئارتۇقى ئاھالە ئىسلام دىنى سۈننى مەزھىبىدە.%1كە يېقىن ئاھالە كاتولىك دىنىغا ئىشىنىدۇ	dini ʔɑhɑliniŋ toqsɑn toqquz pirsɛnttin ʔɑrtuqi ʔɑhɑlɛ ʔislɑm dini synni mɛzhibidɛ . bir pirsɛntkɛ jeqin ʔɑhɑlɛ kɑtolik diniʁɑ ʔiʃinidu
7. تەخمىنەن 99.5 مىليون بالاغەتكە يەتكەن ئامېرىكىلىقنىڭ قاندىكى ئومۇمى كولەستىرولى 200 مگ/دل غا يەتكەن ياكى ئۇنىڭدىن ئاشقان، تەخمىنەن 39.9 مىلىيۇن بالاغەتكە يەتكەن ئامېرىكىلىقنىڭ قاندىكى ئومۇمى كولەستىرولى 240مگ/دل غا يەتكەن ياكى ئۇنىڭدىن ئاشقان.	jɛttɛ . tɛχminɛn toqsɑn toqquz bɛʃ miljon bɑlɑʁɛtkɛ jɛtkɛn ʔɑmerikiliqniŋ qɑndiki ʔomumi kolɛstiroli ʔikki jyz mk dl ʁɑ jɛtkɛn jɑki ʔuniŋdin ʔɑʃqɑn , tɛχminɛn ʔottuz toqquz toqquz milijun bɑlɑʁɛtkɛ jɛtkɛn ʔɑmerikiliqniŋ qɑndiki ʔomumi kolɛstiroli ʔikki jyz qiriq mk dl ʁɑ jɛtkɛn jɑki ʔuniŋdin ʔɑʃqɑn .
«تەرجۈمەئى تەفسىرى مەۋلانا ياقۇبى چەرخى» ھىجرىيە 993- يىل، 191 ۋاراق /ھەر ۋاراق 15 قۇر، تەرجىمە قىلغۇچى ۋە كۆچۈرگۈچى ئېنىق ئەمەس، ئۆزبەكچە؛	tɛrd͡ʒymɛʔi tɛpsiri mɛwlɑnɑ jɑqubi t͡ʃɛrχi hid͡ʒrijɛ toqquz jyz toqsɑn ʔyt͡ʃint͡ʃi jil , jyz toqsɑn bir wɑrɑq hɛr wɑrɑq ʔon bɛʃ qur , tɛrd͡ʒimɛ qilʁut͡ʃi wɛ køt͡ʃyrɡyt͡ʃi ʔeniq ʔɛmɛs , ʔøzbɛkt͡ʃɛ ,
«مىلادى 1845- يىلىدىكى قۇرئان تەرجىمىسى» 248 ۋاراق /ھەر بىر ۋاراق 21 قۇر، مۇئەللىپى ۋە كۈچۈرگۈچىسى نامەلۇم. ئۆزبەكچە؛	milɑdi miŋ sɛkkiz jyz qiriq bɛʃint͡ʃi jilidiki qurʔɑn tɛrd͡ʒimisi ʔikki jyz qiriq sɛkkiz wɑrɑq hɛr bir wɑrɑq jiɡirmɛ bir qur , muʔɛllipi wɛ kyt͡ʃyrɡyt͡ʃisi nɑmɛlum . ʔøzbɛkt͡ʃɛ ,
مىلادىيە 634–641-يىللىرى ئېرۇسالىمنى ئۆز ئىچىگە ئالغان بۇ رايون يېقىندا ئىسلامنى قوبۇل قىلغان ئەرەبلەر تەرىپىدىن بويسۇندۇرۇلدى. بۇ رايوننى كونترول قىلىش كەلگۈسى ئۈچ ئەسىر ئىچىدە راشىدۇن خەلىپىلىكى ، ئۇمەييە ، ​​ئابباسىيلار ، فاتىمىيلار ، سەلجۇقلار ، ئەھلى سەلىپ قوشۇنلىرى ۋە ئاييۇبلار ئارىسىدا يۆتكەلدى.	milɑdijɛ ʔɑltɛ jyz ʔottuz tøt ʔɑltɛ jyz qiriq birint͡ʃi jilliri ʔerusɑlimni ʔøz ʔit͡ʃiɡɛ ʔɑlʁɑn bu rɑjon jeqindɑ ʔislɑmni qobul qilʁɑn ʔɛrɛblɛr tɛripidin bojsunduruldi . bu rɑjonni kontrol qiliʃ kɛlɡysi ʔyt͡ʃ ʔɛsir ʔit͡ʃidɛ rɑʃidun χɛlipiliki , ʔumɛjjɛ , ʔɑbbɑsijlɑr , pɑtimijlɑr , sɛld͡ʒuqlɑr , ʔɛhli sɛlip qoʃunliri wɛ ʔɑjjublɑr ʔɑrisidɑ jøtkɛldi .
بۇخارا ئۆزبېكىستان شەهرىنىڭ‌ بىرى. بۇ شەهەردە كۆپ تارىخىي يادگارلىقلار بار ۋە زامانىۋىى ئۆزبېكىستان شەهەرلەر ئاھالىسىنىڭ سانى بويىچە بۇخارا بەشىچى ئورۇندا. بۇخارا ئۆزبېكىستاندا جايلاشقان بولسىمۇ شەهەردە تۇرىدىغانلارنىڭ كۆپچىلىكى پارسى- تاجىكچە سۆزلەيدۇ. بۇ تىل تاشقۇرغاندىكى تاجىك تىلىغا ئوخشىمايدۇ.	buχɑrɑ ʔøzbekistɑn ʃɛhriniŋ biri . bu ʃɛhɛrdɛ køp tɑriχij jɑdɡɑrliqlɑr bɑr wɛ zɑmɑniwii ʔøzbekistɑn ʃɛhɛrlɛr ʔɑhɑlisiniŋ sɑni bojit͡ʃɛ buχɑrɑ bɛʃit͡ʃi ʔorundɑ . buχɑrɑ ʔøzbekistɑndɑ d͡ʒɑjlɑʃqɑn bolsimu ʃɛhɛrdɛ turidiʁɑnlɑrniŋ køpt͡ʃiliki pɑrsi tɑd͡ʒikt͡ʃɛ søzlɛjdu . bu til tɑʃqurʁɑndiki tɑd͡ʒik tiliʁɑ ʔoχʃimɑjdu .
بۇخارا بوستانلىقى بىر نەچچە مىڭ يىل بۇرۇن تىكلەنگەن بولۇپ، مىلادى بەشىنچى ئەسىردە مۇهىم مەدەنىي ۋە سىياسىي شەهەرگە ئايلاندى . «بۇخارا» نامى يەتتىنچى ئاسىردىن باشلاپ ئىشلىتىلدى. ئىسلام تارقالغاندا بۇخارا مۇستەقىل سۇغدىي پادىشاھلىقى ئىدى ۋە ئاهالىسىنىڭ دىنى زەرتۇشت، بۇددا‌ ۋە شەرقىي خرىستىئان ئىدى.	buχɑrɑ bostɑnliqi bir nɛt͡ʃt͡ʃɛ miŋ jil burun tiklɛnɡɛn bolup , milɑdi bɛʃint͡ʃi ʔɛsirdɛ muhim mɛdɛnij wɛ sijɑsij ʃɛhɛrɡɛ ʔɑjlɑndi . buχɑrɑ nɑmi jɛttint͡ʃi ʔɑsirdin bɑʃlɑp ʔiʃlitildi . ʔislɑm tɑrqɑlʁɑndɑ buχɑrɑ mustɛqil suʁdij pɑdiʃɑhliqi ʔidi wɛ ʔɑhɑlisiniŋ dini zɛrtuʃt , buddɑ wɛ ʃɛrqij χristiʔɑn ʔidi .
ئون بەشىنچى ئەسىرىدىن باشلاپ، شىيبانى سۇلالىنىڭ ھۆكۈمرانلىقى ئاستىدا،‌ بۇخارا يەنە پايتاخت بولىدۇ، ۋە شۇنىڭ بىلەن ئاتتۇرا ئاسىانىڭ مەدەنىي مەركەزىگە ئايلىنىدۇ. بۇخارانىڭ ئاتاقلىق يادگارلىقلىرىنىڭ كۆپى بۇ دەۋردە (ئون بەشىنچىدىن يىگىرمىنچى ئەسىرنىڭ بېشىغىچە) قۇرۇلۇپتۇ. مەسەلەن قۇشبېگى، مىرئەرەب، ۋە كۆكەلدەش مەدرەسەلىرى.	ʔon bɛʃint͡ʃi ʔɛsiridin bɑʃlɑp , ʃijbɑni sulɑliniŋ høkymrɑnliqi ʔɑstidɑ , buχɑrɑ jɛnɛ pɑjtɑχt bolidu , wɛ ʃuniŋ bilɛn ʔɑtturɑ ʔɑsiɑniŋ mɛdɛnij mɛrkɛziɡɛ ʔɑjlinidu . buχɑrɑniŋ ʔɑtɑqliq jɑdɡɑrliqliriniŋ køpi bu dɛwrdɛ ʔon bɛʃint͡ʃidin jiɡirmint͡ʃi ʔɛsirniŋ beʃiʁit͡ʃɛ quruluptu . mɛsɛlɛn quʃbeɡi , mirʔɛrɛp , wɛ køkɛldɛʃ mɛdrɛsɛliri .
ھىجاب • سەدىقە بېرىش • قەسەم قىلىش • تەقلىد قىلىش • يېمەكلىك ۋە ئىچىملىك ​​• ۋاقف • قەسەم • ئاخىرلىشىش • ئابراگ • يوق	hid͡ʒɑp sɛdiqɛ beriʃ qɛsɛm qiliʃ tɛqlit qiliʃ jemɛklik wɛ ʔit͡ʃimlik wɑqp qɛsɛm ʔɑχirliʃiʃ ʔɑbrɑk joq
باڭكوك بولساتايلاندنىڭ پايتەختى ۋە ئەڭ چوڭ شەھىرى​.‌باشقا ئىسمى] ​"‌پەرىشتە شەھىرى​".‌باڭكوك شەرقى جەنۇبى ئاسىيادىكى ئىككىنچى چوڭ شەھەر بولۇپ،تايلاندنىڭ سىياسى،ئىقتىساد،قاتناش پەن-تېخنىكا مائارىپ دىن قاتارلىق ھەر تەرەپتىن مەركىزى​.‌	bɑŋkok bolsɑtɑjlɑndniŋ pɑjtɛχti wɛ ʔɛŋ t͡ʃoŋ ʃɛhiri . bɑʃqɑ ʔismi pɛriʃtɛ ʃɛhiri . bɑŋkok ʃɛrqi d͡ʒɛnubi ʔɑsijɑdiki ʔikkint͡ʃi t͡ʃoŋ ʃɛhɛr bolup , tɑjlɑndniŋ sijɑsi , ʔiqtisɑt , qɑtnɑʃ pɛn teχnikɑ mɑʔɑrip din qɑtɑrliq hɛr tɛrɛptin mɛrkizi .
باڭكوك روناق تاپقان خەلقئارالىق چوڭ شەھەر،ئىقتىدادى تايلان ئومۇمىي مىقدارىنىڭ 44 پېرسەنتىنى ئىگىلەيدۇ​.‌باڭكوك پورتى تايلاندنىڭ 90 پېرسەنت تاشقى سودىسىنى ئۆز ئۈستىگە ئالغان​.‌باڭكوك ساياھەتچىلىكتە ئىنتايىن تەرەقىي قىلغان بولۇپ،2013-يىللىق يەرشارى بويىنچە ئەڭ قارشى ئېلىندىغان ساياھەت شەھىرى دەپ باھالاندى​.‌	bɑŋkok ronɑq tɑpqɑn χɛlqʔɑrɑliq t͡ʃoŋ ʃɛhɛr , ʔiqtidɑdi tɑjlɑn ʔomumij miqdɑriniŋ qiriq tøt persɛntini ʔiɡilɛjdu . bɑŋkok porti tɑjlɑndniŋ toqsɑn persɛnt tɑʃqi sodisini ʔøz ʔystiɡɛ ʔɑlʁɑn . bɑŋkok sɑjɑhɛtt͡ʃiliktɛ ʔintɑjin tɛrɛqij qilʁɑn bolup , ʔikki miŋ ʔon ʔyt͡ʃint͡ʃi jilliq jɛrʃɑri bojint͡ʃɛ ʔɛŋ qɑrʃi ʔelindiʁɑn sɑjɑhɛt ʃɛhiri dɛp bɑhɑlɑndi .
پۇلى:لېۋ. 2006-يىلى 1.5576لېۋ=بىر دوللار، 2004-يىلى 1.575لېۋ= بىر دوللار، 2002-يىلى 2.077لېۋ= بىر دوللار	puli lew . ʔikki miŋ ʔɑltint͡ʃi jili bir bɛʃ miŋ bɛʃ jyz jɛtmiʃ ʔɑltɛ lew bir dollɑr , ʔikki miŋ tøtint͡ʃi jili bir bɛʃ jyz jɛtmiʃ bɛʃ lew bir dollɑr , ʔikki miŋ ʔikkint͡ʃi jili ʔikki jɛtmiʃ jɛttɛ lew bir dollɑr
پۇلى: كورونى، (2006-يىلى) 22.596كورونى=بىر دوللار. 2004-يىلى 25.7كورونى= بىر دوللار. 2002-يىلى 32.739كورونى=بىر دوللار . چېخ 2008ياۋروپا ئىتىپاقىنىڭ ئەزاسى. 2008-يىلىدىن باشلاپ ياۋوپا ئىتىپاقىغا كىرىپ ياۋرونى ئاساسلىق پۇل بىرلىكى قىلماقچى.	puli koroni , ʔikki miŋ ʔɑltint͡ʃi jili jiɡirmɛ ʔikki bɛʃ jyz toqsɑn ʔɑltɛ koroni bir dollɑr . ʔikki miŋ tøtint͡ʃi jili jiɡirmɛ bɛʃ jɛttɛ koroni bir dollɑr . ʔikki miŋ ʔikkint͡ʃi jili ʔottuz ʔikki jɛttɛ jyz ʔottuz toqquz koroni bir dollɑr . t͡ʃeχ ʔikki miŋ sɛkkiz jɑwropɑ ʔitipɑqiniŋ ʔɛzɑsi . ʔikki miŋ sɛkkizint͡ʃi jilidin bɑʃlɑp jɑwopɑ ʔitipɑqiʁɑ kirip jɑwroni ʔɑsɑsliq pul birliki qilmɑqt͡ʃi .
ۋاقىت رايونى : ياۋروپا ۋاقتى(-2ۋاقىت رايونى)	wɑqit rɑjoni jɑwropɑ wɑqti ʔikki wɑqit rɑjoni
2005-يىلى ئازەربەيجاننىڭ ئىقتىسادىدا يېزا ئىگىلىك كىرىمى 14%،سانائەت45%، مۇلازىمەت 40%نى ئىگەللىگەن بولۇپ -2005يىلى مۇقىم تېلپون ئابونتى 1مىليۇن 91مىڭ ، يانپون ئابونتى ئىككى مىلىيۇن 242مىڭ بولغان، ئىنتېرنېت ئابونتى678مىڭ بولغان.	ʔikki miŋ bɛʃint͡ʃi jili ʔɑzɛrbɛjd͡ʒɑnniŋ ʔiqtisɑdidɑ jezɑ ʔiɡilik kirimi ʔon tøt pirsɛnt , sɑnɑʔɛt qiriq bɛʃ pirsɛnt , mulɑzimɛt qiriq pirsɛntni ʔiɡɛlliɡɛn bolup ʔikki miŋ bɛʃ jili muqim telpon ʔɑbonti bir miljun toqsɑn bir miŋ , jɑnpon ʔɑbonti ʔikki milijun ʔikki jyz qiriq ʔikki miŋ bolʁɑn , ʔinternet ʔɑbonti ʔɑltɛ jyz jɛtmiʃ sɛkkiz miŋ bolʁɑn .
ئىقتىسادى: 2006 -يىلى بېلارۇسىيەنىڭ ئۇمۇمى مىللى ئىشلەپچىقىرىش دارامىتى 28مىليارت560مىليۇن دوللار بولۇپ كىشى بېشىغا7800دوللار توغرا كەلگەن. بېلارۇسىيەنىڭ2000-يىلىدىن بۇيانقى يىللىق ئىقتىسادى ئېشىش سۈرئىتى 8%-9% بولۇۋاتىدۇ.	ʔiqtisɑdi ʔikki miŋ ʔɑltint͡ʃi jili belɑrusijɛniŋ ʔumumi milli ʔiʃlɛpt͡ʃiqiriʃ dɑrɑmiti jiɡirmɛ sɛkkiz miljɑrt bɛʃ jyz ʔɑtmiʃ miljun dollɑr bolup kiʃi beʃiʁɑ jɛttɛ miŋ sɛkkiz jyz dollɑr toʁrɑ kɛlɡɛn . belɑrusijɛniŋ ʔikki miŋ jilidin bujɑnqi jilliq ʔiqtisɑdi ʔeʃiʃ syrʔiti sɛkkiz pirsɛnt toqquz pirsɛnt boluwɑtidu .
دۆلەت بايرىمى) -1810يىلى5 (ئاينىڭ 25-كۈنى	dølɛt bɑjrimi miŋ sɛkkiz jyz ʔon jili bɛʃ ʔɑjniŋ jiɡirmɛ bɛʃint͡ʃi kyni
ئىقتىسادى: 2006 -يىلى بوسنىيەنىڭ ئۇمۇمى مىللى ئىشلەپچىقىرىش دارامىتى 9مىليارت158مىليۇن دوللار بولۇپ كىشى بېشىغا 5500دوللار توغرا كەلگەن.بوسنىيەنىڭ2000-يىلىدىن بۇيانقى يىللىق ئىقتىسادى ئېشىش سۈرئىتى 5%-6% بولۇۋاتىدۇ.	ʔiqtisɑdi ʔikki miŋ ʔɑltint͡ʃi jili bosnijɛniŋ ʔumumi milli ʔiʃlɛpt͡ʃiqiriʃ dɑrɑmiti toqquz miljɑrt jyz ʔɛllik sɛkkiz miljun dollɑr bolup kiʃi beʃiʁɑ bɛʃ miŋ bɛʃ jyz dollɑr toʁrɑ kɛlɡɛn . bosnijɛniŋ ʔikki miŋ jilidin bujɑnqi jilliq ʔiqtisɑdi ʔeʃiʃ syrʔiti bɛʃ pirsɛnt ʔɑltɛ pirsɛnt boluwɑtidu .
ئىقتىسادى: 2006 -يىلى بۇلغارىيەنىڭ ئۇمۇمى مىللى ئىشلەپچىقىرىش دارامىتى 27مىليارت850مىليۇن دوللار بولۇپ كىشى بېشىغا3773دوللار توغرا كەلگەن. بۇلغارىيەنىڭ2000-يىلىدىن بۇيانقى يىللىق ئىقتىسادى ئېشىش سۈرئىتى 5%-6% بولۇۋاتىدۇ.	ʔiqtisɑdi ʔikki miŋ ʔɑltint͡ʃi jili bulʁɑrijɛniŋ ʔumumi milli ʔiʃlɛpt͡ʃiqiriʃ dɑrɑmiti jiɡirmɛ jɛttɛ miljɑrt sɛkkiz jyz ʔɛllik miljun dollɑr bolup kiʃi beʃiʁɑ ʔyt͡ʃ miŋ jɛttɛ jyz jɛtmiʃ ʔyt͡ʃ dollɑr toʁrɑ kɛlɡɛn . bulʁɑrijɛniŋ ʔikki miŋ jilidin bujɑnqi jilliq ʔiqtisɑdi ʔeʃiʃ syrʔiti bɛʃ pirsɛnt ʔɑltɛ pirsɛnt boluwɑtidu .
ئىسرا سۇرەسى ، (ئەرەبچە:سورة الإسراء)، قۇرئاننىڭ 17. سۇرەسى. 111 ئايەتتىن تەركىب تاپىدۇ. مەككىي سۇرەلەردىن بولۇپ، ئەمما 26، 32، 33 ۋە 57 ئايەتلەر بىلەن 73. - 80. ئايەتلەر مەدىنەدە نازىل بولغان دەپ قارىلىدۇ.	ʔisrɑ surɛsi , ʔɛrɛbt͡ʃɛ sort ɑlsrɑ , qurʔɑnniŋ ʔon jɛttɛ . surɛsi . jyz ʔon bir ʔɑjɛttin tɛrkip tɑpidu . mɛkkij surɛlɛrdin bolup , ʔɛmmɑ jiɡirmɛ ʔɑltɛ , ʔottuz ʔikki , ʔottuz ʔyt͡ʃ wɛ ʔɛllik jɛttɛ ʔɑjɛtlɛr bilɛn jɛtmiʃ ʔyt͡ʃ . sɛksɛn . ʔɑjɛtlɛr mɛdinɛdɛ nɑzil bolʁɑn dɛp qɑrilidu .
مىسىر تۆرت چوڭ قەدىمىي مەدەنىيەتلىك دۆلەتنىڭ بىرىدۇر. يەر ئۆلچىمى 1 مىليون 10 مىڭ كم² بولۇپ، 2020 - يىلى تەخمىنەن 100 مىليون نۇپۇسلۇق بىر دۆلەتتۇر.	misir tørt t͡ʃoŋ qɛdimij mɛdɛnijɛtlik dølɛtniŋ biridur . jɛr ʔølt͡ʃimi bir miljon ʔon miŋ kwɑdrɑt kilometir bolup , ʔikki miŋ jiɡirmint͡ʃi jili tɛχminɛn jyz miljon nupusluq bir dølɛttur .
شېنجېن شەھىرى بولسا جۇڭگو گۇئاڭدوڭ ئۆلكىسى دىكىبىخاھار 2007 نوپۇس بار، شېنجېننىڭ 8،615،500 نوپۇسىبار، 4202.7 كم² دائىرائىقىدا نوپۇس جايلاخكان، خىمالىكاڭ لىك 22.33°، خارىكى ئۇزۇنلۇك 114°06، پوقتانومۇرى 518000 رايۇننومۇرى 755.	ʃend͡ʒen ʃɛhiri bolsɑ d͡ʒuŋɡo ɡuʔɑŋdoŋ ʔølkisi dikibiχɑhɑr ʔikki miŋ jɛttɛ nopus bɑr , ʃend͡ʒenniŋ sɛkkiz miljon ʔɑltɛ jyz ʔon bɛʃ miŋ bɛʃ jyz nopusibɑr , tøt miŋ ʔikki jyz ʔikki jɛttɛ kwɑdrɑt kilometir dɑʔirɑʔiqidɑ nopus d͡ʒɑjlɑχkɑn , χimɑlikɑŋ lik jiɡirmɛ ʔikki ʔottuz ʔyt͡ʃ ɡrɑdus , χɑriki ʔuzunluk jyz ʔon tøt ɡrɑdus ʔɑltɛ , poqtɑnomuri bɛʃ jyz ʔon sɛkkiz miŋ rɑjunnomuri jɛttɛ jyz ʔɛllik bɛʃ .
